,Scheme,Category,Type,Benchmark,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
153,DSP Low Duration Fund-Reg(G), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index, 16.74,5.42,4.47,4.66,"1,000.00",0.62,"1,000.00"
154,DSP Low Duration Fund-Reg(W-IDCW), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index, 10.13,5.42,4.47,4.52,"1,000.00",0.62,"1,000.00"
155,IDFC Banking & PSU Debt Fund-Reg(G), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 20.68,5.15,3.75,5.40,"1,000.00",0.62,"1,000.00"
156,IDFC Banking & PSU Debt Fund-Reg(IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 11.17,5.15,3.75,3.53,"1,000.00",0.62,"1,000.00"
157,Parag Parikh Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI, 49.50,1.05,20.74,16.16,"1,000.00",1.67,"1,000.00"
158,ICICI Pru Savings Fund(M-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index, 102.06,7.08,4.89,5.28,"1,000.00",0.49,"1,000.00"
159,ICICI Pru Savings Fund(FN-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index, 101.71,7.09,4.90,5.36,"1,000.00",0.49,"1,000.00"
160,DSP Banking & PSU Debt Fund-Reg(G), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 20.04,4.50,3.32,5.17,"1,000.00",0.57,"1,000.00"
161,DSP Banking & PSU Debt Fund-Reg(IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 10.47,4.50,3.32,4.55,"1,000.00",0.57,"1,000.00"
162,DSP Banking & PSU Debt Fund-Reg(M-IDCW Reinv), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 10.21,4.50,3.32,5.02,"1,000.00",Nil,N/A
163,Edelweiss Arbitrage Fund-Reg(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage, 16.39,4.64,4.26,4.99,"5,000.00",1.08,"1,000.00"
164,Edelweiss Arbitrage Fund-Reg(IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage, 12.02,4.64,4.18,4.76,"5,000.00",1.08,"1,000.00"
165,HDFC Corp Bond Fund(IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index, 17.44,5.52,3.47,5.77,"1,000.00",0.6,"1,000.00"
166,Kotak Equity Hybrid Fund(G), Hybrid - Aggressive Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 65:35 Index, 41.80,5.17,15.21,11.25,"5,000.00",1.98,"1,000.00"
167,ICICI Pru Equity Savings Fund(G), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index, 18.18,6.13,6.87,7.12,"5,000.00",0.99,"1,000.00"
168,ICICI Pru Equity Savings Fund(Q-IDCW Payout), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index, 12.38,6.13,6.88,6.84,"5,000.00",0.99,"1,000.00"
169,IDFC Corp Bond Fund-Reg(G), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index, 16.10,4.64,2.68,5.51,"1,000.00",0.61,"1,000.00"
170,Mirae Asset Hybrid Equity Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index, 22.40,2.47,12.66,10.40,"5,000.00",1.77,"1,000.00"
171,Mirae Asset Hybrid Equity Fund-Reg(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index, 14.32,2.49,12.66,10.10,"5,000.00",1.77,"1,000.00"
172,Mirae Asset Tax Saver Fund-Reg(G), Equity - ELSS, Open ended, NIFTY 500 - TRI, 31.09,0.67,17.48,13.43,"1,000.00",1.71,"1,000.00"
173,Mirae Asset Tax Saver Fund-Reg(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI, 19.33,0.67,17.49,13.20,"1,000.00",1.71,"1,000.00"
174,IDFC Corp Bond Fund-Reg(IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index, 10.85,4.64,2.68,3.37,"1,000.00",0.61,"1,000.00"
175,Edelweiss Arbitrage Fund-Reg(M-IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage, 13.39,4.64,4.10,4.64,"5,000.00",1.08,"1,000.00"
176,Edelweiss Balanced Advantage Fund-Reg(M-IDCW), Hybrid - Dynamic Asset Allocation, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index, 19.78,2.67,12.65,9.36,"5,000.00",1.75,"1,000.00"
177,UTI Nifty Next 50 Index Fund-Reg(G), Index Funds - Nifty Next 50, Open ended, NIFTY NEXT 50 - TRI, 13.79,-6.45,10.44,-,"5,000.00",0.79,"1,000.00"
178,Parag Parikh Liquid Fund-Reg(G), Debt - Liquid Fund, Open ended, N/A," 1,239.52",4.87,3.80,-,"5,000.00",0.27,"1,000.00"
179,Mirae Asset Equity Savings Fund-Reg(G), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index, 15.14,3.67,10.55,-,"5,000.00",1.42,"1,000.00"
180,Parag Parikh Liquid Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, N/A," 1,000.54",4.86,3.77,-,"5,000.00",0.27,"1,000.00"
181,Parag Parikh Liquid Fund-Reg(W-IDCW), Debt - Liquid Fund, Open ended, N/A," 1,001.49",4.87,3.74,-,"5,000.00",0.27,"1,000.00"
182,Parag Parikh Liquid Fund-Reg(M-IDCW), Debt - Liquid Fund, Open ended, N/A," 1,005.77",4.87,3.72,-,"5,000.00",0.27,"1,000.00"
183,Kotak Balanced Advantage Fund-Reg(G), Hybrid - Balanced Advantage, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index, 15.17,5.50,9.98,-,"1,000.00",1.68,"1,000.00"
184,Kotak Balanced Advantage Fund-Reg(IDCW), Hybrid - Balanced Advantage, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index, 15.17,5.50,9.98,-,"1,000.00",1.68,"1,000.00"
185,Motilal Oswal Nasdaq 100 FOF-Reg(G), FoFs (Overseas), Open ended, Nasdaq-100, 21.37,-7.87,13.71,-,"1,000.00",0.5,"1,000.00"
186,Motilal Oswal Liquid Fund-Reg(G), Debt - Liquid Fund, Open ended, N/A, 11.83,4.76,3.62,-,"1,000.00",0.36,"1,000.00"
187,Mirae Asset Equity Savings Fund-Reg(IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index, 11.71,3.67,10.52,-,"5,000.00",1.42,"1,000.00"
188,DSP Quant Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, S&P BSE 200 - TRI, 15.85,-2.65,11.86,-,"1,000.00",1.29,"1,000.00"
189,Motilal Oswal Liquid Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, N/A, 10.01,4.76,4.26,-,"1,000.00",0.36,"1,000.00"
190,Motilal Oswal Liquid Fund-Reg(W-IDCW), Debt - Liquid Fund, Open ended, N/A, 10.02,4.76,3.58,-,"1,000.00",0.36,"1,000.00"
191,Motilal Oswal Liquid Fund-Reg(FN-IDCW), Debt - Liquid Fund, Open ended, N/A, 10.01,4.77,3.51,-,"1,000.00",0.36,"1,000.00"
192,Motilal Oswal Liquid Fund-Reg(M-IDCW), Debt - Liquid Fund, Open ended, N/A, 10.06,4.76,3.57,-,"1,000.00",0.36,"1,000.00"
193,Motilal Oswal Liquid Fund-Reg(Q-IDCW), Debt - Liquid Fund, Open ended, N/A, 10.08,4.78,3.64,-,"1,000.00",0.36,"1,000.00"
194,DSP Quant Fund-Reg(IDCW), Equity - Thematic Fund - Other, Open ended, S&P BSE 200 - TRI, 15.85,-2.65,11.86,-,"1,000.00",1.29,"1,000.00"
195,Motilal Oswal S&P 500 Index Fund-Reg(G), Equity - Thematic Fund - Global, Open ended, S&P 500 - TRI, 15.37,3.42,-,-,"1,000.00",1.06,"1,000.00"
196,IDFC CRISIL IBX Gilt June 2027 Index Fund-Reg(G), Debt - Gilt Fund, Open ended, CRISIL Gilt 2027 Index, 10.73,4.31,1.93,-,"1,000.00",0.41,"1,000.00"
197,IDFC CRISIL IBX Gilt June 2027 Index Fund-Reg(IDCW), Debt - Gilt Fund, Open ended, CRISIL Gilt 2027 Index, 10.27,4.31,1.94,-,"1,000.00",0.41,"1,000.00"
198,Canara Rob Equity Hybrid Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index, 250.21,1.77,12.46,11.09,"5,000.00",1.77,"1,000.00"
199,Canara Rob Equity Hybrid Fund-Reg(M-IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index, 84.96,1.76,12.33,10.53,"5,000.00",1.77,"1,000.00"
200,Canara Rob Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI, 224.89,-0.61,14.29,12.64,"5,000.00",1.77,"1,000.00"
201,Canara Rob Flexi Cap Fund-Reg(IDCW), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI, 45.86,-1.59,13.92,11.93,"5,000.00",1.77,"1,000.00"
202,Canara Rob Equity Tax Saver Fund-Reg(IDCW), Equity - ELSS, Open ended, S&P BSE 500 - TRI, 36.43,0.83,16.37,13.91,"1,000.00",1.98,"1,000.00"
203,Canara Rob Savings Fund-Reg(DD-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index, 10.26,5.41,4.40,4.37,"5,000.00",0.6,"1,000.00"
204,Canara Rob Savings Fund-Reg(IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index, 31.85,5.40,4.40,4.44,"5,000.00",0.6,"1,000.00"
205,Canara Rob Savings Fund-Reg(G), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index, 35.56,5.40,4.39,4.44,"5,000.00",0.6,"1,000.00"
206,Canara Rob Savings Fund-Reg(W-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index, 10.26,5.40,4.40,4.39,"5,000.00",0.6,"1,000.00"
207,DSP Ultra Short Fund-Reg(G), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index," 2,899.29",5.33,4.41,3.89,"1,000.00",1.04,"1,000.00"
208,DSP Ultra Short Fund-Reg(W-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index," 1,005.05",5.33,4.41,3.79,"1,000.00",1.04,"1,000.00"
209,DSP Equity Opportunities Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI, 29.80,4.56,14.60,9.82,"1,000.00",1.86,"1,000.00"
210,DSP Equity Opportunities Fund-Reg(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI, 364.26,4.56,14.60,10.40,"1,000.00",1.86,"1,000.00"
211,DSP Short Term Fund-Reg(IDCW), Debt - Short Duration Fund, Open ended, N/A, 12.22,4.31,3.16,4.04,"1,000.00",0.96,"1,000.00"
212,DSP Short Term Fund-Reg(G), Debt - Short Duration Fund, Open ended, N/A, 39.11,4.31,3.16,4.59,"1,000.00",0.96,"1,000.00"
213,DSP Short Term Fund-Reg(M-IDCW Reinv), Debt - Short Duration Fund, Open ended, N/A, 11.45,4.31,3.16,4.48,"1,000.00",Nil,N/A
214,DSP Tax Saver Fund-Reg(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI, 18.74,3.10,16.16,11.44,"1,000.00",1.84,"1,000.00"
215,DSP Tax Saver Fund-Reg(G), Equity - ELSS, Open ended, NIFTY 500 - TRI, 83.03,3.10,16.30,12.09,"1,000.00",1.84,"1,000.00"
216,PGIM India Liquid Fund(G), Debt - Liquid Fund, Open ended, N/A, 288.33,5.19,4.13,5.27,"5,000.00",0.27,"1,000.00"
217,PGIM India Liquid Fund(DD-IDCW), Debt - Liquid Fund, Open ended, N/A, 100.30,5.19,4.09,4.45,"5,000.00",0.27,"1,000.00"
218,PGIM India Liquid Fund(M-IDCW), Debt - Liquid Fund, Open ended, N/A, 111.14,5.19,4.05,4.57,"5,000.00",0.27,"1,000.00"
219,PGIM India Liquid Fund(W-IDCW), Debt - Liquid Fund, Open ended, N/A, 100.61,5.19,4.07,4.47,"5,000.00",0.27,"1,000.00"
220,IDFC Bond Fund - Medium Term Plan-Reg(G), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index, 38.46,3.41,1.22,4.12,"1,000.00",1.47,"1,000.00"
221,IDFC Bond Fund - Medium Term Plan-Reg(M-IDCW), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index, 10.24,3.41,1.22,3.94,"1,000.00",1.47,"1,000.00"
222,IDFC Bond Fund - Medium Term Plan-Reg(FN-IDCW), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index, 10.27,3.41,1.22,3.99,"1,000.00",1.47,"1,000.00"
223,IDFC Bond Fund - Medium Term Plan-Reg(DD-IDCW), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index, 10.26,3.80,1.41,4.21,"1,000.00",1.47,"1,000.00"
224,IDFC Bond Fund - Medium Term Plan-Reg(BM-IDCW), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index, 11.89,3.41,1.22,4.02,"1,000.00",1.47,"1,000.00"
225,HDFC Equity Savings Fund(IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index - TRI, 11.80,4.95,10.36,7.23,"1,000.00",2.09,"1,000.00"
226,HDFC Equity Savings Fund(G), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index - TRI, 50.61,4.96,10.37,7.62,"1,000.00",2.09,"1,000.00"
227,ICICI Pru Equity-Arbitrage Fund(IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage, 14.08,4.54,4.12,4.62,"5,000.00",0.99,"1,000.00"
228,ICICI Pru Equity-Arbitrage Fund(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage, 29.01,4.54,4.13,4.90,"5,000.00",0.99,"1,000.00"
229,ICICI Pru Equity & Debt Fund(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index, 243.26,7.94,20.29,13.38,"5,000.00",1.76,"1,000.00"
230,ICICI Pru Floating Interest Fund(DD-IDCW), Debt - Floater Fund, Open ended, CRISIL Low Duration Debt Index, 100.88,7.34,4.58,5.41,"1,000.00",1.28,"1,000.00"
231,ICICI Pru Floating Interest Fund(G), Debt - Floater Fund, Open ended, CRISIL Low Duration Debt Index, 352.62,7.47,4.65,5.53,"1,000.00",1.28,"1,000.00"
232,ICICI Pru Smallcap Fund(IDCW), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI, 25.86,7.21,24.21,12.40,"5,000.00",2,"1,000.00"
233,ICICI Pru Smallcap Fund(G), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI, 53.23,7.22,24.21,12.43,"5,000.00",2,"1,000.00"
234,Kotak Bond Short Term Fund(G), Debt - Short Duration Fund, Open ended, Nifty Short Duration Debt Index, 43.75,4.63,2.99,4.92,"5,000.00",1.16,"1,000.00"
235,Kotak Savings Fund(G), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index, 36.38,5.61,4.74,4.47,"5,000.00",0.81,"1,000.00"
236,Kotak Savings Fund(M-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index, 10.72,5.61,4.74,4.44,"5,000.00",0.81,"1,000.00"
237,Kotak Banking and PSU Debt Fund(G), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index, 54.57,5.43,3.64,5.41,"5,000.00",0.81,"1,000.00"
238,Kotak Banking and PSU Debt Fund(M-IDCW), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index, 10.44,5.43,3.63,5.40,"5,000.00",0.81,"1,000.00"
239,Kotak Tax Saver Fund(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI, 28.36,5.86,15.53,12.38,"1,000.00",2.08,"1,000.00"
240,Kotak Tax Saver Fund(G), Equity - ELSS, Open ended, NIFTY 500 - TRI, 75.78,5.86,15.63,12.80,"1,000.00",2.08,"1,000.00"
241,Invesco India Corporate Bond Fund(A-IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index," 1,926.30",4.73,3.01,4.33,"1,000.00",0.66,"1,000.00"
242,Invesco India Corporate Bond Fund(G), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index," 2,650.74",4.73,3.01,4.98,"1,000.00",0.66,"1,000.00"
243,Invesco India Corporate Bond Fund(M-IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index," 1,519.32",4.73,3.01,4.98,"1,000.00",0.66,"1,000.00"
244,Invesco India Corporate Bond Fund(Q-IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index," 1,150.29",4.73,3.01,4.79,"1,000.00",0.66,"1,000.00"
245,Invesco India Arbitrage Fund(IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage, 14.39,5.40,4.32,4.70,"1,000.00",1.05,"1,000.00"
246,Invesco India Arbitrage Fund(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage, 26.96,5.40,4.34,4.94,"1,000.00",1.05,"1,000.00"
247,Invesco India Contra Fund(IDCW), Equity - Contra Fund, Open ended, S&P BSE 500 - TRI, 32.38,3.50,15.43,10.69,"1,000.00",1.78,"1,000.00"
248,Invesco India Contra Fund(G), Equity - Contra Fund, Open ended, S&P BSE 500 - TRI, 79.32,3.52,15.50,11.00,"1,000.00",1.78,"1,000.00"
249,Invesco India Treasury Advantage Fund(DD-IDCW), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index," 1,012.23",5.33,4.27,4.66,"1,000.00",0.65,"1,000.00"
250,Invesco India Treasury Advantage Fund(G), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index," 3,190.65",5.33,4.29,4.73,"1,000.00",0.65,"1,000.00"
251,Invesco India Treasury Advantage Fund(M-IDCW), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index," 1,162.81",5.33,4.29,4.67,"1,000.00",0.65,"1,000.00"
252,Invesco India Treasury Advantage Fund(W-IDCW), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index," 1,150.85",5.33,4.29,4.72,"1,000.00",0.65,"1,000.00"
253,Invesco India Midcap Fund(IDCW), Equity - Mid Cap Fund, Open ended, S&P BSE 150 MidCap - TRI, 33.42,2.79,17.54,12.13,"1,000.00",2.03,"1,000.00"
254,Invesco India Midcap Fund(G), Equity - Mid Cap Fund, Open ended, S&P BSE 150 MidCap - TRI, 88.40,2.79,17.53,12.62,"1,000.00",2.03,"1,000.00"
255,SBI BlueChip Fund-Reg(IDCW), Equity - Large Cap Fund, Open ended, S&P BSE 100 - TRI, 36.44,6.59,15.37,10.99,"5,000.00",1.59,"1,000.00"
256,SBI BlueChip Fund-Reg(G), Equity - Large Cap Fund, Open ended, S&P BSE 100 - TRI, 64.05,6.59,15.37,11.00,"5,000.00",1.59,"1,000.00"
257,SBI Equity Hybrid Fund-Reg(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index, 43.05,0.71,10.47,9.91,"1,000.00",1.45,"1,000.00"
258,SBI Equity Hybrid Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index, 203.17,0.71,10.47,10.07,"1,000.00",1.45,"1,000.00"
259,SBI Nifty Index Fund-Reg(IDCW), Index Funds - Nifty, Open ended, NIFTY 50 - TRI, 80.34,4.55,14.56,11.77,"5,000.00",0.5,"1,000.00"
260,SBI Nifty Index Fund-Reg(G), Index Funds - Nifty, Open ended, NIFTY 50 - TRI, 156.58,4.55,14.52,11.74,"5,000.00",0.5,"1,000.00"
261,SBI Large & Midcap Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI, 176.54,8.22,17.72,12.34,"5,000.00",1.79,"1,000.00"
262,SBI Large & Midcap Fund-Reg(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI, 390.76,8.22,17.71,12.34,"5,000.00",1.79,"1,000.00"
263,SBI Focused Equity Fund-Reg(IDCW), Equity - Focused Fund, Open ended, S&P BSE 500 - TRI, 40.61,-5.88,10.97,10.58,"5,000.00",1.6,"1,000.00"
264,SBI Focused Equity Fund-Reg(G), Equity - Focused Fund, Open ended, S&P BSE 500 - TRI, 222.04,-5.88,10.97,10.58,"5,000.00",1.6,"1,000.00"
265,SBI Short Term Debt Fund-Reg(FN-IDCW), Debt - Short Duration Fund, Open ended, N/A, 12.18,5.22,3.60,4.88,"5,000.00",0.84,"1,000.00"
266,SBI Short Term Debt Fund-Reg(G), Debt - Short Duration Fund, Open ended, N/A, 26.89,5.22,3.60,4.93,"5,000.00",0.84,"1,000.00"
267,SBI Short Term Debt Fund-Reg(M-IDCW), Debt - Short Duration Fund, Open ended, N/A, 14.87,5.22,3.60,4.90,"5,000.00",0.84,"1,000.00"
268,SBI Short Term Debt Fund-Reg(W-IDCW), Debt - Short Duration Fund, Open ended, N/A, 12.19,5.22,3.60,4.85,"5,000.00",0.84,"1,000.00"
269,Sundaram Corp Bond Fund(H-IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index, 15.87,5.47,3.94,5.33,"5,000.00",0.54,"1,000.00"
270,Sundaram Corp Bond Fund(M-IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index, 15.00,5.48,3.94,5.50,"5,000.00",0.54,"1,000.00"
271,Sundaram Corp Bond Fund(G), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index, 33.73,5.47,3.94,5.53,"5,000.00",0.54,"1,000.00"
272,Sundaram Corp Bond Fund(A-IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index, 15.60,5.47,3.94,5.12,"5,000.00",0.54,"1,000.00"
273,Sundaram Corp Bond Fund(Q-IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index, 17.09,5.47,3.94,5.43,"5,000.00",0.54,"1,000.00"
274,Sundaram Banking & PSU Debt Fund(G), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 35.91,4.62,3.06,4.24,"5,000.00",0.38,"1,000.00"
275,Sundaram Banking & PSU Debt Fund(DD-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 10.35,4.62,3.06,4.15,"5,000.00",0.38,"1,000.00"
276,Sundaram Banking & PSU Debt Fund(M-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 11.60,4.62,3.06,4.16,"5,000.00",0.38,"1,000.00"
277,Franklin India Liquid Fund-Super Inst(DD-IDCW), Debt - Liquid Fund, Open ended, N/A," 1,000.00",5.22,3.97,4.40,"10,000.00",0.21,"1,000.00"
278,Franklin India Liquid Fund-Super Inst(G), Debt - Liquid Fund, Open ended, N/A," 3,332.05",5.22,4.18,5.34,"10,000.00",0.21,"1,000.00"
279,Franklin India Liquid Fund-Super Inst(W-IDCW), Debt - Liquid Fund, Open ended, N/A," 1,022.69",5.22,3.96,4.37,"25,00,000.00",0.21,"1,000.00"
280,UTI Flexi Cap Fund-Reg(IDCW), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI, 151.95,-7.47,12.42,12.02,"5,000.00",1.69,"1,000.00"
281,UTI Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI, 229.83,-7.47,12.42,12.17,"5,000.00",1.69,"1,000.00"
282,HDFC Floating Rate Debt Fund(DD-IDCW), Debt - Floater Fund, Open ended, NIFTY Low Duration Debt Index, 10.08,6.46,4.75,5.74,"1,000.00",0.48,"1,000.00"
283,HDFC Floating Rate Debt Fund(W-IDCW), Debt - Floater Fund, Open ended, NIFTY Low Duration Debt Index, 10.05,6.51,4.63,5.66,"1,000.00",0.48,"1,000.00"
284,HDFC Floating Rate Debt Fund(M-IDCW), Debt - Floater Fund, Open ended, NIFTY Low Duration Debt Index, 10.18,6.51,4.77,5.73,"1,000.00",0.48,"1,000.00"
285,HDFC Floating Rate Debt Fund(G), Debt - Floater Fund, Open ended, NIFTY Low Duration Debt Index, 41.36,6.51,4.78,5.79,"1,000.00",0.48,"1,000.00"
286,Edelweiss Mid Cap Fund-Reg(G), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI, 52.36,5.79,21.16,11.88,"5,000.00",2.12,"1,000.00"
287,Edelweiss Mid Cap Fund-Reg(IDCW), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI, 30.18,5.79,20.53,11.43,"5,000.00",2.12,"1,000.00"
288,ICICI Pru Bluechip Fund(G), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI, 69.51,5.63,16.09,11.48,"1,000.00",1.67,"1,000.00"
289,ICICI Pru Bluechip Fund(IDCW), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI, 24.12,5.63,16.08,11.04,"1,000.00",1.67,"1,000.00"
290,Aditya Birla SL Banking & PSU Debt(G), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 306.48,5.08,3.81,5.52,"1,000.00",0.72,"1,000.00"
291,Aditya Birla SL Banking & PSU Debt(IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 163.84,5.08,3.80,4.93,"1,000.00",0.72,"1,000.00"
292,Aditya Birla SL Banking & PSU Debt(Q-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 108.73,5.08,3.81,5.38,"1,000.00",0.72,"1,000.00"
293,Sundaram Banking & PSU Debt Fund(W-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 12.10,4.63,3.15,4.26,"5,000.00",0.38,"1,000.00"
294,Canara Rob Ultra Short Term Fund-Reg(G), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index," 3,252.65",5.23,4.29,3.69,"1,000.00",0.95,"1,000.00"
295,Canara Rob Ultra Short Term Fund-Reg(DD-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index," 1,240.71",5.24,4.30,3.63,"1,000.00",0.95,"1,000.00"
296,ICICI Pru Bond Fund(G), Debt - Medium to Long Duration Fund, Open ended, CRISIL Medium to Long Term Debt Index, 33.07,5.66,3.72,5.13,"5,000.00",1.11,"1,000.00"
297,ICICI Pru Bond Fund(M-IDCW), Debt - Medium to Long Duration Fund, Open ended, CRISIL Medium to Long Term Debt Index, 11.34,5.66,3.72,4.94,"5,000.00",1.11,"1,000.00"
298,Edelweiss Liquid Fund-Reg(G), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index," 2,835.12",5.04,4.05,5.18,"5,000.00",0.39,"1,000.00"
299,Edelweiss Liquid Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index," 1,049.76",5.05,3.99,4.36,"5,000.00",0.39,"1,000.00"
